"county_name","year","SUMLEV","REGION","DIVISION","Civilian_labor_force","Employed","Unemployed","Unemployment_rate"
"Albany",2000,50,1,2,154389,149260,5129,3.3
"Albany",2001,50,1,2,154790,149607,5183,3.3
"Albany",2002,50,1,2,157688,151424,6264,4
"Albany",2003,50,1,2,157732,150958,6774,4.3
"Albany",2004,50,1,2,158263,151559,6704,4.2
"Albany",2005,50,1,2,159158,152920,6238,3.9
"Albany",2006,50,1,2,159526,153401,6125,3.8
"Albany",2007,50,1,2,158424,152391,6033,3.8
"Albany",2008,50,1,2,159330,151681,7649,4.8
"Albany",2009,50,1,2,158969,148024,10945,6.9
"Albany",2010,50,1,2,161626,150137,11489,7.1
"Albany",2011,50,1,2,158506,147443,11063,7
"Albany",2012,50,1,2,160401,148855,11546,7.2
"Albany",2013,50,1,2,160574,150583,9991,6.2
"Albany",2014,50,1,2,157049,149307,7742,4.9
"Albany",2015,50,1,2,158197,151269,6928,4.4
"Albany",2016,50,1,2,158526,151974,6552,4.1
"Albany",2017,50,1,2,161093,154316,6777,4.2
"Albany",2018,50,1,2,161009,155092,5917,3.7
"Albany",2019,50,1,2,161257,155650,5607,3.5
"Albany",2020,50,1,2,159996,148962,11034,6.9
"Allegany",2000,50,1,2,22711,21608,1103,4.9
"Allegany",2001,50,1,2,23006,21913,1093,4.8
"Allegany",2002,50,1,2,23453,22175,1278,5.4
"Allegany",2003,50,1,2,23390,21846,1544,6.6
"Allegany",2004,50,1,2,23524,22000,1524,6.5
"Allegany",2005,50,1,2,23520,22147,1373,5.8
"Allegany",2006,50,1,2,23530,22308,1222,5.2
"Allegany",2007,50,1,2,23355,22102,1253,5.4
"Allegany",2008,50,1,2,23933,22419,1514,6.3
"Allegany",2009,50,1,2,23911,21794,2117,8.9
"Allegany",2010,50,1,2,24270,22004,2266,9.3
"Allegany",2011,50,1,2,23692,21561,2131,9
"Allegany",2012,50,1,2,23658,21638,2020,8.5
"Allegany",2013,50,1,2,23773,21945,1828,7.7
"Allegany",2014,50,1,2,23292,21833,1459,6.3
"Allegany",2015,50,1,2,20309,18979,1330,6.5
"Allegany",2016,50,1,2,20070,18781,1289,6.4
"Allegany",2017,50,1,2,20060,18740,1320,6.6
"Allegany",2018,50,1,2,19908,18802,1106,5.6
"Allegany",2019,50,1,2,19720,18685,1035,5.2
"Allegany",2020,50,1,2,19498,17990,1508,7.7
"Alleghany",2015,NA,NA,NA,NA,NA,NA,NA
"Alleghany",2016,NA,NA,NA,NA,NA,NA,NA
"Bronx",2000,50,1,2,485706,451119,34587,7.1
"Bronx",2001,50,1,2,485175,449099,36076,7.4
"Bronx",2002,50,1,2,499390,450718,48672,9.7
"Bronx",2003,50,1,2,500787,448262,52525,10.5
"Bronx",2004,50,1,2,504256,458515,45741,9.1
"Bronx",2005,50,1,2,506727,469271,37456,7.4
"Bronx",2006,50,1,2,506580,473426,33154,6.5
"Bronx",2007,50,1,2,512095,478314,33781,6.6
"Bronx",2008,50,1,2,526398,486813,39585,7.5
"Bronx",2009,50,1,2,535750,471589,64161,12
"Bronx",2010,50,1,2,586805,516105,70700,12
"Bronx",2011,50,1,2,586219,516013,70206,12
"Bronx",2012,50,1,2,594885,520367,74518,12.5
"Bronx",2013,50,1,2,600525,530049,70476,11.7
"Bronx",2014,50,1,2,603201,545610,57591,9.5
"Bronx",2015,50,1,2,602931,556946,45985,7.6
"Bronx",2016,50,1,2,603006,560468,42538,7.1
"Bronx",2017,50,1,2,632929,593962,38967,6.2
"Bronx",2018,50,1,2,626880,591303,35577,5.7
"Bronx",2019,50,1,2,625009,591519,33490,5.4
"Bronx",2020,50,1,2,613416,515459,97957,16
"Broome",2000,50,1,2,97978,94437,3541,3.6
"Broome",2001,50,1,2,98127,93951,4176,4.3
"Broome",2002,50,1,2,98808,93018,5790,5.9
"Broome",2003,50,1,2,96673,90994,5679,5.9
"Broome",2004,50,1,2,96053,90785,5268,5.5
"Broome",2005,50,1,2,96232,91515,4717,4.9
"Broome",2006,50,1,2,97035,92555,4480,4.6
"Broome",2007,50,1,2,96672,92442,4230,4.4
"Broome",2008,50,1,2,97404,92038,5366,5.5
"Broome",2009,50,1,2,97545,89457,8088,8.3
"Broome",2010,50,1,2,97931,89241,8690,8.9
"Broome",2011,50,1,2,94855,86646,8209,8.7
"Broome",2012,50,1,2,93879,85603,8276,8.8
"Broome",2013,50,1,2,91828,84512,7316,8
"Broome",2014,50,1,2,87879,82002,5877,6.7
"Broome",2015,50,1,2,86642,81430,5212,6
"Broome",2016,50,1,2,85916,81177,4739,5.5
"Broome",2017,50,1,2,86101,81335,4766,5.5
"Broome",2018,50,1,2,85989,81836,4153,4.8
"Broome",2019,50,1,2,85468,81608,3860,4.5
"Broome",2020,50,1,2,83823,76847,6976,8.3
"Cattaraugus",2000,50,1,2,40965,39119,1846,4.5
"Cattaraugus",2001,50,1,2,41038,38970,2068,5
"Cattaraugus",2002,50,1,2,41762,39397,2365,5.7
"Cattaraugus",2003,50,1,2,42135,39662,2473,5.9
"Cattaraugus",2004,50,1,2,42171,39613,2558,6.1
"Cattaraugus",2005,50,1,2,42100,39827,2273,5.4
"Cattaraugus",2006,50,1,2,41942,39793,2149,5.1
"Cattaraugus",2007,50,1,2,41186,39119,2067,5
"Cattaraugus",2008,50,1,2,41440,38946,2494,6
"Cattaraugus",2009,50,1,2,41689,38038,3651,8.8
"Cattaraugus",2010,50,1,2,39706,35851,3855,9.7
"Cattaraugus",2011,50,1,2,38612,34970,3642,9.4
"Cattaraugus",2012,50,1,2,38264,34639,3625,9.5
"Cattaraugus",2013,50,1,2,38072,34742,3330,8.7
"Cattaraugus",2014,50,1,2,36581,34000,2581,7.1
"Cattaraugus",2015,50,1,2,35157,32929,2228,6.3
"Cattaraugus",2016,50,1,2,34879,32760,2119,6.1
"Cattaraugus",2017,50,1,2,34913,32764,2149,6.2
"Cattaraugus",2018,50,1,2,34788,32949,1839,5.3
"Cattaraugus",2019,50,1,2,34524,32857,1667,4.8
"Cattaraugus",2020,50,1,2,33819,30741,3078,9.1
"Cayuga",2000,50,1,2,40294,38729,1565,3.9
"Cayuga",2001,50,1,2,39928,38220,1708,4.3
"Cayuga",2002,50,1,2,41233,39230,2003,4.9
"Cayuga",2003,50,1,2,41361,39158,2203,5.3
"Cayuga",2004,50,1,2,41652,39492,2160,5.2
"Cayuga",2005,50,1,2,41843,39804,2039,4.9
"Cayuga",2006,50,1,2,41515,39570,1945,4.7
"Cayuga",2007,50,1,2,41059,39267,1792,4.4
"Cayuga",2008,50,1,2,41480,39204,2276,5.5
